CookerStat, GenerateAssetRegistry=0.032365, Initialize=0.171255, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionId2882887A46F9A07DE3A72AAAC6414999_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8E40916248B789287AF7EDB2AC01A3B2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.10.26-18.36.46, Duration=782.522156, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionId0E77704141E46AD535D0A6BE8C4B0605_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8E40916248B789287AF7EDB2AC01A__3BD4A237A3397A15DBCD348A8CF4D6AFCE35E690, StartTime=2016.10.26-18.36.46, HierarchicalDDC=, DataSize=524553, Duration=5.153235, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionId806D4F944C7EED364EF62AB0B754B7C5_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8E40916248B789287AF7EDB2AC01A__CB89DF8C3359EDB3977D2CE3A917BDAC045D78D2, StartTime=2016.10.26-18.36.46, HierarchicalDDC=, DataSize=131335, Duration=5.186107, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionIdC233B7D944EE38927332D6A0A2C61AF4_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8E40916248B789287AF7EDB2AC01A__9B51EB4E14D8F8B9ECADF8B634C148CFEE9C490E, StartTime=2016.10.26-18.36.46, HierarchicalDDC=, DataSize=33031, Duration=4.639719, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionIdFFC025A14DF0EDAC43D3D6B716131829_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8E40916248B789287AF7EDB2AC01A__50DE1CE5F541CF55A711FB82037E963E82AEC32E, StartTime=2016.10.26-18.36.46, HierarchicalDDC=, DataSize=8455, Duration=4.524525, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionId87A6755147BCE3C2CA9D0CBA14FFD0E4_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8E40916248B789287AF7EDB2AC01A__B86432D334096BB96D5F5F18951895833467430E, StartTime=2016.10.26-18.36.46, HierarchicalDDC=, DataSize=4452, Duration=4.029870, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionId2882887A46F9A07DE3A72AAAC6414999_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A9364224FC7D1DC7A5B7081215924DF_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.10.26-18.36.46, Duration=603.679443, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionId377CA1564B87F39CB0D8FA9A6A2837E5_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A9364224FC7D1DC7A5B708121592__189B6BFA51D18CD77D26DDBD30645B625E7DB0A4, StartTime=2016.10.26-18.36.47, HierarchicalDDC=, DataSize=524553, Duration=6.058697, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionId617496A44816659A759397827A5FE174_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A9364224FC7D1DC7A5B708121592__FA0EDAA77B353339BBAF8B4E509FC6D0786FBD20, StartTime=2016.10.26-18.36.47, HierarchicalDDC=, DataSize=131335, Duration=4.727129, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionId87A6755147BCE3C2CA9D0CBA14FFD0E4_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A9364224FC7D1DC7A5B708121592__8E149233BE7E043386708CCB79022A6D6F93696F, StartTime=2016.10.26-18.36.47, HierarchicalDDC=, DataSize=33031, Duration=6.121646, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionIdFFC025A14DF0EDAC43D3D6B716131829_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A9364224FC7D1DC7A5B708121592__F07DA1D93FC606914D1D4A2F216842C0D0E5A9BC, StartTime=2016.10.26-18.36.47, HierarchicalDDC=, DataSize=8455, Duration=5.857371, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
DDCTransactionIdC233B7D944EE38927332D6A0A2C61AF4_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A9364224FC7D1DC7A5B708121592__70C8E9D1211895005EEC3DB9A1DE60FB027EEFBC, StartTime=2016.10.26-18.36.47, HierarchicalDDC=, DataSize=4452, Duration=4.023757, RunGuid=RunID5B3EFB3540DF258A322669AC050A3A79
