CookerStat, GenerateAssetRegistry=0.027016, Initialize=0.144497, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
SavePackageTransactionIdAC79C9754F7606D961DE1AAA452F82C1_0, Filename=../../../../../../Users/asus/Documents/Unreal Projects/Low_Poly_Tree/Content/Map/SC.umap, AutoPackageBackupDelegate=12.002971, FlushAsyncLoading=0.011723, FlushStreamingFunc=0.101171, BlockTillAllRequestsFinished=0.004843, ResetLoadersForSaveUnMarkAllObjects=3.242910, TagPackageExports=4.098173, BeginCacheForCookedPlatformData=0.003058, SerializeImports=5.872153, GatherLocalizableTextData=69.672997, MarkNames=1.060411, SerializeSummary=0.027779, SerializeNames=0.678651, SerializeGatherableTextData=0.014272, BuildExportMap=1.461029, SortExportsNonSeekfree=2.265833, SortExportsSeekfreeConstructor=0.084862, SortExportsSeekfreeInner=29.131655, SortExportsSeekfree=0.007134, BuildDependencyMap=0.282623, SerializeImportMap=0.105251, SerializeExportMap=0.083845, SerializeDependencyMap=0.021916, SerializeStringAssetReferenceMap=0.003058, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.935042, SerializeExports=22.480183, SerializeBulkData=5.260270, MoveFile=3.764831, UnaccountedTime=1.679435, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdF23F1CEF49506D1D36AF0587B73EC97A_0, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_4436EC827F500636E3B7CB9DA4AC907C, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.143223, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_0, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_53F6C53E392A7983B785C12E58926C00, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.123344, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId4E73053844ECD0CDF5C1548C1F10D458_0, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_8FBFC1FD4E5BCAD61E467DA8E533CB43, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=1.133807, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_0, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_D75124CC4E0C4EFA038CF2A1F523C913, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.146024, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_0, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_30A72A3A1BD90298B8801AAFF934BBAC, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.107799, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId7F048AA24EA4C1CE607ABBBDDD103E0A_0, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_3ABD65BB4C9D867650ACBEADE45F4CCB, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.110347, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdDF5FA2C74E36CCF80AFDEB99466BE9A2_0, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_A1E09CE958157283DC620C848F300807, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.109840, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdF23F1CEF49506D1D36AF0587B73EC97A_1, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_178F156A4AF7E13ADBC276A6273F041E, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.109073, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_1, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_8EE1BC86EB091A5C88815756F752FFC6, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.110861, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_1, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_6248732143A73FE1603566B905165021, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.111368, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_1, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_37422AEFA1703FDA618581F9DA6C488E, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.116717, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
